# BLASTN 2.8.1+
# Query: NR_114042.1 E. coli
# Database: V4V5_primers.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 22 hits found
NR_114042.1	926r7	100.000	20	0	0	760	779	20	1	1.07e-06	38.1
NR_114042.1	515f1	100.000	19	0	0	488	506	1	19	3.86e-06	36.2
NR_114042.1	515fmodified1	100.000	19	0	0	488	506	1	19	3.86e-06	36.2
NR_114042.1	926r13	95.000	20	1	0	760	779	20	1	4.99e-05	32.5
NR_114042.1	926r11	95.000	20	1	0	760	779	20	1	4.99e-05	32.5
NR_114042.1	926r9	95.000	20	1	0	760	779	20	1	4.99e-05	32.5
NR_114042.1	926r8	95.000	20	1	0	760	779	20	1	4.99e-05	32.5
NR_114042.1	926r1	95.000	20	1	0	760	779	20	1	4.99e-05	32.5
NR_114042.1	515f2	94.737	19	1	0	488	506	1	19	1.79e-04	30.7
NR_114042.1	515fmodified3	94.737	19	1	0	488	506	1	19	1.79e-04	30.7
NR_114042.1	515fmodified2	94.737	19	1	0	488	506	1	19	1.79e-04	30.7
NR_114042.1	926r17	90.000	20	2	0	760	779	20	1	0.002	27.0
NR_114042.1	926r17	100.000	8	0	0	125	132	3	10	5.0	15.9
NR_114042.1	926r17	100.000	8	0	0	1456	1463	6	13	5.0	15.9
NR_114042.1	926r15	90.000	20	2	0	760	779	20	1	0.002	27.0
NR_114042.1	926r12	90.000	20	2	0	760	779	20	1	0.002	27.0
NR_114042.1	926r10	90.000	20	2	0	760	779	20	1	0.002	27.0
NR_114042.1	926r5	90.000	20	2	0	760	779	20	1	0.002	27.0
NR_114042.1	926r3	90.000	20	2	0	760	779	20	1	0.002	27.0
NR_114042.1	515fmodified4	89.474	19	2	0	488	506	1	19	0.008	25.1
NR_114042.1	926r18	100.000	8	0	0	125	132	3	10	5.0	15.9
NR_114042.1	926r18	100.000	8	0	0	1456	1463	6	13	5.0	15.9
# BLASTN 2.8.1+
# Query: NR_126253.1 L. helsingborgensis
# Database: V4V5_primers.fasta
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 29 hits found
